,название,цена,год,модель,пробег,тип двигателя,объем двигателя,коробка передач,кузов,привод,л.с,состаяние
3295,nissan,918000,2018,terrano,18064,бензин,1.6,mt,внедорожник,полный,114,не битый
3296,газ,490000,2011,ель 3302,216000,дизель,2.8,mt,фургон,задний,120,не битый
3297,lada,92000,2006,kalina,190000,бензин,1.6,mt,седан,передний,81,не битый
3298,chevrolet,380000,2013,aveo,67100,бензин,1.6,at,седан,передний,115,не битый
3299,bmw,600000,2010,1 серия,60000,бензин,1.6,at,хетчбэк,задний,115,не битый
3300,renault,199000,2004,megane,200000,бензин,1.4,mt,седан,передний,98,не битый
3301,lada,200000,2011,priora,109000,бензин,1.6,mt,хетчбэк,передний,98,не битый
3302,ford,308000,2007,focus,140000,бензин,1.6,mt,седан,передний,115,не битый
3303,honda,570000,2014,n-wgn,78000,бензин,0.7,cvt,хетчбэк,передний,64,не битый
3304,honda,250000,1993,prelude,165000,бензин,2.2,at,купе,передний,185,не битый
3305,ваз,32000,1996,2108,202000,бензин,1.5,mt,хетчбэк,передний,70,не битый
3306,kia,110000,2006,spectra,190000,бензин,2.0,mt,седан,передний,140,не битый
3307,volkswagen,625000,2012,passat,120000,бензин,1.8,amt,седан,передний,152,не битый
3308,toyota,2050000,2011,land cruiser,187000,дизель,4.5,at,внедорожник,полный,235,не битый
3309,lada,510000,2016,xray,45789,бензин,1.8,amt,хетчбэк,передний,122,не битый
3310,chevrolet,419000,2014,niva,99500,бензин,1.7,mt,внедорожник,полный,80,не битый
3311,skoda,699000,2014,octavia,59919,бензин,1.4,mt,хетчбэк,передний,140,не битый
3312,toyota,1195000,2007,land cruiser prado,208000,бензин,4.0,at,внедорожник,полный,249,не битый
3313,cadillac,350000,2004,srx,160000,бензин,4.6,at,внедорожник,полный,324,не битый
3314,газ,199999,2005,соболь 2752,236000,бензин,2.5,mt,минивэн,задний,140,не битый
3315,ваз,35000,2000,21099,380000,бензин,1.5,mt,седан,передний,78,не битый
3316,lada,73000,1988,4x4 (нива),300000,бензин,1.6,mt,внедорожник,полный,73,не битый
3317,bmw,870000,2010,7 серия,154000,бензин,3.0,at,седан,задний,326,не битый
3318,subaru,355000,2000,forester,238000,бензин,2.0,at,внедорожник,полный,241,не битый
3319,volkswagen,498000,2009,passat cc,145000,бензин,1.8,amt,седан,передний,152,не битый
3320,lada,190000,2010,priora,201700,бензин,1.6,mt,хетчбэк,передний,98,не битый
3321,daewoo,75000,2007,nexia,250000,бензин,1.6,mt,седан,передний,109,не битый
3322,infiniti,429000,2006,m35,311000,бензин,3.5,at,седан,полный,280,не битый
3323,honda,800000,2008,cr-v,137975,бензин,2.4,at,внедорожник,полный,166,не битый
3324,nissan,810000,2012,x-trail,149000,бензин,2.5,cvt,внедорожник,полный,169,не битый
3325,mitsubishi,165000,2000,pajero io,236000,бензин,2.0,at,внедорожник,полный,136,не битый
3326,peugeot,350000,2011,207,89000,бензин,1.4,mt,хетчбэк,передний,75,не битый
3327,hyundai,630000,2013,i30,97000,бензин,1.6,mt,хетчбэк,передний,130,не битый
3328,peugeot,215000,2007,207,125000,бензин,1.4,mt,хетчбэк,передний,75,не битый
3329,opel,506000,2010,astra,145145,бензин,1.6,at,хетчбэк,передний,115,не битый
3330,chevrolet,90000,2007,lanos,111930,бензин,1.5,mt,седан,передний,86,не битый
3331,toyota,640000,1998,land cruiser prado,314046,бензин,3.4,mt,внедорожник,полный,178,не битый
3332,hyundai,260000,2005,getz,141000,бензин,1.3,at,хетчбэк,передний,85,не битый
3333,subaru,500000,2006,tribeca,80000,бензин,3.0,at,внедорожник,полный,250,не битый
3334,hyundai,425000,2001,terracan,196000,дизель,2.5,at,внедорожник,полный,101,не битый
3335,kia,980000,2012,sportage,92000,бензин,2.0,mt,внедорожник,передний,150,не битый
3336,lada,170000,2011,priora,127000,бензин,1.6,mt,седан,передний,98,не битый
3337,газ,1050000,2018,ель next,50000,бензин,2.7,mt,фургон,задний,107,не битый
3338,daewoo,103000,2007,matiz,152040,бензин,0.8,mt,хетчбэк,передний,52,не битый
3339,kia,530000,2010,sportage,219000,бензин,2.0,mt,внедорожник,передний,141,не битый
3340,peugeot,570000,2011,3008,113000,бензин,1.6,at,внедорожник,передний,150,не битый
3341,daewoo,99500,2011,nexia,105000,бензин,1.6,mt,седан,передний,109,не битый
3342,kia,720000,2015,cee'd,132000,бензин,1.6,at,хетчбэк,передний,130,не битый
3343,lada,110000,1989,4x4 (нива),100000,бензин,1.6,mt,внедорожник,полный,73,не битый
3344,lada,498000,2018,vesta,37735,бензин,1.6,mt,седан,передний,106,не битый
3345,hyundai,175000,2007,accent,154703,бензин,1.5,mt,седан,передний,102,не битый
3346,toyota,1699000,2018,camry,63000,бензин,2.5,at,седан,передний,181,не битый
3347,уаз,400000,2014,patriot,63800,бензин,2.7,mt,внедорожник,полный,128,не битый
3348,volkswagen,175000,1998,passat,235000,бензин,2.3,mt,универсал,полный,150,не битый
3349,chevrolet,235000,2004,niva,76000,бензин,1.7,mt,внедорожник,полный,80,не битый
3350,skoda,250000,2008,octavia,250000,бензин,1.6,mt,универсал,передний,102,не битый
3351,subaru,30000,1990,leone,289708,бензин,1.8,at,седан,полный,131,не битый
3352,citroen,399100,2013,c4,83000,бензин,1.6,mt,седан,передний,115,не битый
3353,nissan,650000,2006,elgrand,17600,бензин,3.5,at,минивэн,задний,240,не битый
3354,toyota,2990000,2013,land cruiser,24000,дизель,4.5,at,внедорожник,полный,235,не битый
3355,toyota,265000,1993,mark ii,300000,бензин,3.0,at,седан,задний,220,не битый
3356,skoda,925000,2019,rapid,1354,бензин,1.6,at,хетчбэк,передний,110,не битый
3357,land,600000,2006,rover range rover,150000,бензин,4.2,at,внедорожник,полный,396,не битый
3358,ford,280000,2008,fusion,120000,бензин,1.4,mt,хетчбэк,передний,80,не битый
3359,kia,670000,2010,sportage,120000,бензин,2.0,mt,внедорожник,передний,150,не битый
3360,уаз,110000,2001,3160,110000,бензин,2.7,mt,внедорожник,полный,132,не битый
3361,kia,650000,2013,cee'd,60849,бензин,1.6,mt,хетчбэк,передний,129,не битый
3362,great,400000,2010,wall hover,304000,бензин,2.0,mt,внедорожник,полный,122,не битый
3363,bmw,730000,2007,x5,193000,бензин,3.0,at,внедорожник,полный,272,не битый
3364,toyota,270000,1995,rav4,154000,бензин,2.0,mt,внедорожник,полный,129,не битый
3365,opel,300000,2008,astra,189581,бензин,1.8,at,купе,передний,116,не битый
3366,lifan,238000,2013,solano,84100,бензин,1.6,mt,седан,передний,106,не битый
3367,toyota,499000,2006,avensis,220000,бензин,1.8,at,седан,передний,129,не битый
3368,lada,400000,2017,4x4 (нива),46000,бензин,1.7,mt,внедорожник,полный,83,не битый
3369,toyota,320000,2002,allex,340000,бензин,1.5,at,хетчбэк,передний,110,не битый
3370,citroen,399999,2013,jumper,490999,дизель,2.2,mt,микроавтобус,передний,130,не битый
3371,peugeot,500000,2012,boxer,300000,дизель,2.2,mt,микроавтобус,передний,120,не битый
3372,hyundai,55555,1991,lantra,200000,бензин,1.6,mt,седан,передний,114,не битый
3373,nissan,600000,2008,teana,259000,бензин,2.5,cvt,седан,передний,182,не битый
3374,ваз,175000,2013,2114 samara,127000,бензин,1.6,mt,хетчбэк,передний,82,не битый
3375,hyundai,550000,2011,elantra,146000,бензин,1.6,mt,седан,передний,132,не битый
3376,chevrolet,60000,2006,lanos,143000,бензин,1.5,mt,седан,передний,86,не битый
3377,lada,210000,2012,granta,110000,бензин,1.6,mt,седан,передний,87,не битый
3378,volkswagen,200000,2004,passat,320000,дизель,1.9,at,седан,передний,130,не битый
3379,citroen,429000,2011,c4,129000,бензин,1.6,mt,хетчбэк,передний,120,не битый
3380,chevrolet,249000,2010,aveo,101000,бензин,1.4,mt,седан,передний,101,не битый
3381,ваз,32000,2000,2110,117000,бензин,1.5,mt,седан,передний,73,не битый
3382,chery,60000,2006,amulet (a15),124000,бензин,1.6,mt,хетчбэк,передний,88,не битый
3383,peugeot,565000,2011,3008,100000,бензин,1.6,at,внедорожник,передний,150,не битый
3384,газ,205000,2006,ель 3302,317000,бензин,2.5,mt,пикап,задний,140,не битый
3385,toyota,1279000,2015,camry,78500,бензин,2.5,at,седан,передний,181,не битый
3386,bmw,250000,1995,3 серия,140000,бензин,2.8,mt,купе,задний,193,не битый
3387,lada,185000,2012,kalina,150000,бензин,1.4,mt,универсал,передний,89,не битый
3388,toyota,270000,2001,allex,317000,бензин,1.5,at,хетчбэк,передний,110,не битый
3389,газ,200000,2007,310221 волга,186936,бензин,1.8,mt,универсал,задний,90,не битый
3390,daewoo,80000,2007,nexia,85449,бензин,1.5,mt,седан,передний,75,не битый
3391,volvo,405000,2006,s40,300000,бензин,1.6,mt,седан,передний,100,не битый
3392,kia,670000,2012,cerato,63300,бензин,1.6,at,седан,передний,126,не битый
3393,kia,1590000,2018,optima,45150,бензин,2.4,at,седан,передний,188,не битый
3394,fiat,450000,2010,ducato,310000,дизель,2.3,mt,фургон,передний,110,не битый
3395,renault,100000,2018,sandero stepway,32000,бензин,1.6,mt,хетчбэк,передний,82,не битый
3396,citroen,420000,2012,jumper,180000,дизель,2.2,mt,микроавтобус,передний,130,не битый
3397,chevrolet,390000,2012,aveo,43000,бензин,1.6,at,хетчбэк,передний,115,не битый
3398,kia,300000,2004,sorento,173000,дизель,2.5,at,внедорожник,полный,140,не битый
3399,toyota,1055000,2014,camry,116000,бензин,2.0,at,седан,передний,150,не битый
3400,hyundai,320000,2007,starex,180000,дизель,2.5,at,минивэн,полный,140,не битый
3401,dodge,289000,2007,caliber,149567,бензин,1.8,mt,хетчбэк,передний,150,не битый
3402,renault,800000,2016,duster,63000,бензин,2.0,mt,внедорожник,полный,143,не битый
3403,lada,360000,2017,granta,39000,бензин,1.6,mt,седан,передний,87,не битый
3404,toyota,129000,1996,celica,300000,бензин,2.0,mt,хетчбэк,передний,175,не битый
3405,opel,240000,2009,astra,206000,дизель,1.3,mt,универсал,передний,90,не битый
3406,ваз,35000,2000,2104,67555,бензин,1.6,mt,универсал,задний,74,не битый
3407,skoda,248000,2008,octavia,260003,бензин,1.4,mt,универсал,передний,75,не битый
3408,ford,255000,2008,fusion,189244,бензин,1.4,mt,хетчбэк,передний,80,не битый
3409,bmw,570000,2011,1 серия,92808,бензин,1.6,at,хетчбэк,задний,115,не битый
3410,mitsubishi,270000,2002,airtrek,220000,бензин,2.4,at,внедорожник,полный,139,не битый
3411,газ,80000,1997,ель 3302,200000,бензин,2.4,mt,фургон,задний,90,не битый
3412,ravon,705750,2019,nexia,1,бензин,1.5,at,седан,передний,107,не битый
3413,ravon,675620,2019,r4,1,бензин,1.5,mt,седан,передний,106,не битый
3414,ravon,721335,2019,r4,1,бензин,1.5,at,седан,передний,106,не битый
3415,ravon,724750,2019,r4,1,бензин,1.5,at,седан,передний,106,не битый
3416,ravon,641500,2019,nexia,15,бензин,1.5,mt,седан,передний,107,не битый
3417,ravon,735665,2019,r4,6,бензин,1.5,at,седан,передний,106,не битый
3418,ravon,715865,2019,r4,1,бензин,1.5,at,седан,передний,106,не битый
3419,ford,295000,2008,fusion,107000,бензин,1.4,amt,хетчбэк,передний,80,не битый
3420,honda,28000,1998,civic,180000,бензин,1.5,at,хетчбэк,передний,115,не битый
3421,mercedes,3999999,2015,-benz gl-класс amg,69000,бензин,5.5,at,внедорожник,полный,557,не битый
3422,toyota,97000,1990,camry,260000,бензин,1.8,at,седан,передний,105,не битый
3423,lexus,4000000,2016,lx,258000,дизель,4.5,at,внедорожник,полный,272,не битый
3424,lada,232000,2011,kalina,103500,бензин,1.6,mt,хетчбэк,передний,82,не битый
3425,ваз,163000,2012,2114 samara,105500,бензин,1.6,mt,хетчбэк,передний,82,не битый
3426,lada,850000,2017,largus,25000,бензин,1.6,mt,универсал,передний,87,не битый
3427,mercedes,270000,1998,-benz clk-класс,250000,бензин,2.3,mt,купе,задний,193,не битый
3428,hyundai,450000,2011,solaris,135000,бензин,1.6,at,седан,передний,123,не битый
3429,газ,799000,2016,ель 3302,68000,бензин,2.7,mt,фургон,задний,107,не битый
3430,hyundai,180000,2005,accent,195000,бензин,1.5,mt,седан,передний,102,не битый
3431,lada,145000,2008,kalina,230000,бензин,1.6,mt,хетчбэк,передний,84,не битый
3432,ваз,80000,2006,2114 samara,145000,бензин,1.5,mt,хетчбэк,передний,77,не битый
3433,haima,205000,2011,3,122000,бензин,1.8,mt,седан,передний,112,не битый
3434,opel,390000,2007,vectra,140000,бензин,2.2,at,хетчбэк,передний,155,не битый
3435,mazda,80000,1997,demio,300000,бензин,1.3,at,хетчбэк,передний,83,не битый
3436,toyota,200000,1990,celica,120000,бензин,2.0,at,купе,передний,156,не битый
3437,ravon,520000,2017,r4,30000,бензин,1.5,mt,седан,передний,106,не битый
3438,toyota,300000,2002,corolla runx,283348,бензин,1.5,at,хетчбэк,полный,110,не битый
3439,renault,250000,2010,logan,112000,бензин,1.6,at,седан,передний,103,не битый
3440,ravon,722700,2019,r4,8,бензин,1.5,at,седан,передний,106,не битый
3441,ford,350000,2011,focus,187000,бензин,1.6,mt,седан,передний,100,не битый
3442,daewoo,56000,2002,nexia,250000,бензин,1.5,mt,седан,передний,75,не битый
3443,chevrolet,275000,2012,lacetti,150000,бензин,1.6,mt,седан,передний,109,не битый
3444,lada,260000,2013,granta,94000,бензин,1.6,mt,седан,передний,98,не битый
3445,subaru,400000,2003,legacy,290000,бензин,2.0,mt,седан,полный,138,не битый
3446,toyota,575000,2008,avensis,196000,бензин,1.8,mt,седан,передний,129,не битый
3447,ford,460000,2011,mondeo,177000,бензин,2.0,mt,седан,передний,145,не битый
3448,vortex,120000,2010,estina,143000,бензин,2.0,mt,седан,передний,136,не битый
3449,газ,55000,2003,3110 волга,92000,бензин,2.3,mt,седан,задний,131,не битый
3450,nissan,595000,2006,skyline,107000,бензин,2.5,at,седан,задний,225,не битый
3451,bmw,575000,2005,5 серия,173000,бензин,4.4,at,седан,задний,333,не битый
3452,lada,183000,2012,priora,164000,бензин,1.6,mt,хетчбэк,передний,98,не битый
3453,chevrolet,450100,2013,cruze,143599,бензин,1.8,mt,седан,передний,141,не битый
3454,lada,120000,2007,priora,150000,бензин,1.6,mt,седан,передний,98,не битый
3455,kia,725000,2011,sorento,210000,дизель,2.2,at,внедорожник,передний,197,не битый
3456,ваз,60000,2003,2110,131000,бензин,1.5,mt,седан,передний,79,не битый
3457,lexus,2500000,2015,nx,56000,гибрид,2.5,cvt,внедорожник,полный,197,не битый
3458,mazda,150000,2001,demio,290000,бензин,1.3,at,хетчбэк,передний,83,не битый
3459,volkswagen,125000,1993,passat,365500,бензин,1.8,mt,универсал,передний,90,не битый
3460,ford,770000,2013,kuga,93000,бензин,1.6,mt,внедорожник,передний,150,не битый
3461,renault,1459000,2019,arkana,6346,бензин,1.3,cvt,внедорожник,полный,150,не битый
3462,volkswagen,1200000,2012,touareg,215000,бензин,3.6,at,внедорожник,полный,249,не битый
3463,ваз,30000,1997,2105,100000,бензин,1.5,mt,седан,задний,75,не битый
3464,volkswagen,350000,2013,polo,170000,бензин,1.6,at,седан,передний,105,не битый
3465,daewoo,130000,2011,matiz,58500,бензин,0.8,mt,хетчбэк,передний,52,не битый
3466,kia,615000,2017,rio,63000,бензин,1.6,mt,хетчбэк,передний,123,не битый
3467,opel,1490000,2016,vivaro,104000,дизель,1.6,mt,минивэн,передний,120,не битый
3468,saab,70000,1995,9000,280000,бензин,2.3,mt,седан,передний,147,не битый
3469,peugeot,535000,2013,208,40000,бензин,1.6,at,хетчбэк,передний,120,не битый
3470,bmw,885000,2008,x5,178000,бензин,3.0,at,внедорожник,полный,272,не битый
3471,volkswagen,719000,2011,passat cc,174000,бензин,1.8,amt,седан,передний,152,не битый
3472,газ,258000,2009,ель 3302,143000,бензин,2.9,mt,пикап,задний,110,не битый
3473,hyundai,680000,2012,ix35,214000,бензин,2.0,at,внедорожник,передний,150,не битый
3474,lada,670000,2019,granta,2900,бензин,1.6,mt,хетчбэк,передний,106,не битый
3475,toyota,470000,2007,camry,285000,бензин,3.5,at,седан,передний,277,не битый
3476,volvo,1470000,2018,v40 cross country,20000,бензин,1.5,at,хетчбэк,передний,152,не битый
3477,opel,215000,2007,corsa,112000,бензин,1.0,mt,хетчбэк,передний,60,не битый
3478,kia,425000,2012,rio,148000,бензин,1.4,mt,седан,передний,107,не битый
3479,nissan,530000,2012,tiida,98000,бензин,1.6,at,хетчбэк,передний,110,не битый
3480,ваз,60000,2002,2112,100000,бензин,1.5,mt,хетчбэк,передний,72,не битый
3481,geely,210000,2012,mk cross,121466,бензин,1.5,mt,хетчбэк,передний,94,не битый
3482,kia,839000,2013,sportage,88179,бензин,2.0,at,внедорожник,передний,150,не битый
3483,ford,400000,2007,focus,187000,бензин,1.8,mt,хетчбэк,передний,125,не битый
3484,ваз,87000,2007,2115 samara,165000,бензин,1.5,mt,седан,передний,78,не битый
3485,ford,459196,2012,focus,104000,бензин,2.0,amt,седан,передний,150,не битый
3486,toyota,425000,2007,corolla,184000,бензин,1.6,amt,седан,передний,124,не битый
3487,skoda,590000,2012,octavia,137000,бензин,1.8,mt,хетчбэк,передний,152,не битый
3488,ваз,120000,2005,2110,179000,бензин,1.6,mt,седан,передний,81,не битый
3489,subaru,170000,1997,legacy,185000,бензин,2.0,at,седан,полный,135,не битый
3490,газ,95000,2006,31105 волга,140000,бензин,2.4,mt,седан,задний,137,не битый
3491,ford,569000,2013,focus,162300,бензин,2.0,amt,универсал,передний,150,не битый
3492,ваз,40000,2004,2112,300000,бензин,1.6,mt,хетчбэк,передний,90,не битый
3493,chery,187000,2011,bonus (a13),86000,бензин,1.5,mt,седан,передний,109,не битый
3494,renault,579000,2012,latitude,108800,бензин,2.5,at,седан,передний,177,не битый
3495,opel,255000,2008,astra,106000,бензин,1.4,amt,хетчбэк,передний,90,не битый
3496,mitsubishi,299000,2001,galant,225000,бензин,2.0,at,седан,передний,145,не битый
3497,honda,59900,1996,orthia,280000,бензин,2.0,at,универсал,передний,145,не битый
3498,volkswagen,80000,1985,golf,222222,бензин,1.3,mt,хетчбэк,передний,55,не битый
3499,уаз,90000,1990,31512,30000,бензин,2.4,mt,внедорожник,полный,90,не битый
3500,газ,55000,2005,31105 волга,199000,бензин,2.3,mt,седан,задний,131,не битый
3501,volkswagen,440000,2013,polo,106080,бензин,1.6,mt,седан,передний,105,не битый
3502,skoda,780000,2015,yeti,43592,бензин,1.6,at,внедорожник,передний,110,не битый
3503,bmw,690000,2011,x1,264454,дизель,2.0,at,внедорожник,полный,177,не битый
3504,porsche,7000000,2019,cayenne coupe,6000,бензин,3.0,at,внедорожник,полный,340,не битый
3505,mazda,1020000,2012,cx-5,141300,бензин,2.0,at,внедорожник,полный,150,не битый
3506,hyundai,175000,2007,accent,188000,бензин,1.5,mt,седан,передний,102,не битый
3507,subaru,157000,2004,impreza,238000,бензин,1.5,at,универсал,передний,100,не битый
3508,lada,330000,2013,kalina,80000,бензин,1.6,at,хетчбэк,передний,98,не битый
3509,lada,460000,2016,vesta,83000,бензин,1.6,mt,седан,передний,106,не битый
3510,volkswagen,275000,2003,passat,360000,бензин,1.8,mt,седан,передний,150,не битый
3511,ford,345000,1996,econoline,196000,бензин,5.8,at,минивэн,задний,214,не битый
3512,lifan,380000,2013,x60,68000,бензин,1.8,mt,внедорожник,передний,128,не битый
3513,ваз,170000,2002,2112,150000,бензин,1.5,mt,хетчбэк,передний,92,не битый
3514,chevrolet,250000,2008,niva,153000,бензин,1.7,mt,внедорожник,полный,80,не битый
3515,kia,180000,2005,rio,170000,бензин,1.5,at,седан,передний,97,не битый
3516,datsun,290000,2015,on-do,122000,бензин,1.6,mt,седан,передний,87,не битый
3517,hyundai,675000,2012,grand starex,173950,дизель,2.5,at,фургон,задний,145,не битый
3518,volkswagen,820000,2011,tiguan,124000,бензин,2.0,at,внедорожник,полный,170,не битый
3519,mercedes,750000,2012,-benz b-класс,99480,бензин,1.6,amt,хетчбэк,передний,156,не битый
3520,ford,265000,2006,focus,170000,бензин,1.6,mt,седан,передний,100,не битый
3521,kia,845000,2018,rio,74500,бензин,1.6,at,седан,передний,123,не битый
3522,kia,515000,2013,rio,120000,бензин,1.6,at,седан,передний,123,не битый
3523,mitsubishi,185000,2001,galant,370000,бензин,2.0,at,седан,передний,145,не битый
3524,chevrolet,110000,2007,lanos,188000,бензин,1.5,mt,седан,передний,86,не битый
3525,renault,324000,2008,scenic,225000,бензин,2.0,at,минивэн,передний,136,не битый
3526,renault,877000,2016,kaptur,116000,бензин,2.0,mt,внедорожник,полный,143,не битый
3527,hyundai,497000,2013,solaris,74000,бензин,1.6,at,седан,передний,123,не битый
3528,geely,330000,2013,emgrand ec7,129600,бензин,1.8,cvt,седан,передний,126,не битый
3529,ваз,125000,2011,2114 samara,129000,бензин,1.6,mt,хетчбэк,передний,81,не битый
3530,skoda,520000,2012,octavia,152000,бензин,1.6,mt,универсал,передний,102,не битый
3531,kia,500000,2012,rio,115200,бензин,1.6,at,седан,передний,123,не битый
3532,hyundai,670000,2018,solaris,17000,бензин,1.4,mt,седан,передний,100,не битый
3533,mitsubishi,800000,2007,l200,179000,дизель,2.5,at,пикап,полный,136,не битый
3534,газ,50000,1999,3110 волга,416000,бензин,2.4,mt,седан,задний,100,не битый
3535,volkswagen,265000,2004,passat,220000,бензин,1.8,mt,седан,передний,150,не битый
3536,mazda,1770000,2019,6,18100,бензин,2.5,at,седан,передний,194,не битый
3537,ваз,40000,2001,2115 samara,150000,бензин,1.5,mt,седан,передний,78,не битый
3538,ваз,120000,2011,2115 samara,200000,бензин,1.6,mt,седан,передний,80,не битый
3539,chevrolet,429000,2012,cruze,153300,бензин,1.6,mt,хетчбэк,передний,109,не битый
3540,toyota,350000,2007,corolla,176038,бензин,1.6,mt,седан,передний,124,не битый
3541,ваз,110000,2005,2113 samara,150000,бензин,1.5,mt,хетчбэк,передний,79,не битый
3542,газ,180000,2007,ель 2747,250000,бензин,2.5,mt,фургон,задний,140,не битый
3543,lada,173000,2011,kalina,88000,бензин,1.6,mt,седан,передний,84,не битый
3544,skoda,555000,2014,rapid,75000,бензин,1.6,mt,хетчбэк,передний,105,не битый
3545,mitsubishi,91000,1999,libero,333000,бензин,1.5,at,универсал,передний,85,не битый
3546,lifan,189000,2012,solano,108066,бензин,1.6,mt,седан,передний,106,не битый
3547,ford,790000,2011,galaxy,151530,дизель,2.2,at,минивэн,передний,200,не битый
3548,ваз,15000,1998,2110,150000,бензин,1.5,mt,седан,передний,73,не битый
3549,opel,535000,2011,insignia,147000,бензин,1.8,mt,седан,передний,140,не битый
3550,renault,499000,2012,megane,173000,бензин,1.6,at,хетчбэк,передний,106,не битый
3551,nissan,685000,2011,qashqai+2,194700,бензин,1.6,mt,внедорожник,передний,114,не битый
3552,skoda,620000,2015,rapid,102000,бензин,1.6,mt,хетчбэк,передний,90,не битый
3553,lada,489000,2016,vesta,74880,бензин,1.6,amt,седан,передний,106,не битый
3554,geely,135000,2013,mk,211000,бензин,1.5,mt,седан,передний,94,не битый
3555,volkswagen,1209000,2014,golf gti,70700,бензин,2.0,amt,хетчбэк,передний,220,не битый
3556,peugeot,469456,2011,308,137000,бензин,1.6,at,универсал,передний,120,не битый
3557,citroen,275000,2009,c4,99000,бензин,1.6,mt,хетчбэк,передний,109,не битый
3558,hyundai,810000,2017,solaris,22000,бензин,1.6,at,седан,передний,123,не битый
3559,lifan,450000,2016,solano,68750,бензин,1.5,mt,седан,передний,100,не битый
3560,lada,699000,2019,vesta,35000,бензин,1.6,mt,универсал,передний,106,не битый
3561,honda,555000,2007,legend,250000,бензин,3.5,at,седан,полный,295,не битый
3562,ваз,145000,2003,2109,150000,бензин,1.5,mt,хетчбэк,передний,72,не битый
3563,mitsubishi,510000,2013,lancer,130000,бензин,1.6,at,седан,передний,117,не битый
3564,mitsubishi,125000,1998,mirage,263000,бензин,1.3,at,купе,передний,88,не битый
3565,hyundai,600000,2012,sonata,132899,бензин,2.0,at,седан,передний,150,не битый
3566,nissan,250000,2006,almera classic,238500,бензин,1.6,at,седан,передний,107,не битый
3567,ваз,160000,2012,2114 samara,154800,бензин,1.6,mt,хетчбэк,передний,81,не битый
3568,peugeot,265000,2008,206,109000,бензин,1.4,at,хетчбэк,передний,75,не битый
3569,volkswagen,750000,2008,touareg,190000,бензин,3.6,at,внедорожник,полный,280,не битый
3570,chrysler,190000,1999,grand voyager,280000,дизель,2.5,mt,минивэн,передний,116,не битый
3571,hyundai,1020000,2017,creta,82000,бензин,1.6,at,внедорожник,передний,123,не битый
3572,lada,120000,1980,4x4 (нива),30000,бензин,1.6,mt,внедорожник,полный,73,не битый
3573,skoda,180000,2006,fabia,240000,бензин,1.2,mt,универсал,передний,64,не битый
3574,lexus,867000,2006,rx,204000,бензин,3.5,at,внедорожник,полный,276,не битый
3575,toyota,143000,1995,caldina,247000,бензин,2.0,at,универсал,передний,135,не битый
3576,mercedes,245000,1999,-benz s-класс,300000,бензин,4.3,at,седан,задний,279,не битый
3577,toyota,2950000,2014,land cruiser,109000,дизель,4.5,at,внедорожник,полный,235,не битый
3578,ford,235000,2005,fusion,225000,бензин,1.6,mt,хетчбэк,передний,101,не битый
3579,газ,550000,2006,ель 33023,100000,бензин,2.4,mt,фургон,задний,140,не битый
3580,lada,360000,2017,priora,60000,бензин,1.6,mt,седан,передний,87,не битый
3581,газ,115000,2006,ель 2705,100000,бензин,2.4,mt,фургон,задний,140,не битый
3582,lada,325000,2015,4x4 (нива),130725,бензин,1.7,mt,внедорожник,полный,83,не битый
3583,hyundai,275000,2007,matrix,207000,бензин,1.6,mt,минивэн,передний,103,не битый
3584,ваз,52000,2008,2105,76000,бензин,1.6,mt,седан,задний,73,не битый
3585,ford,405000,2011,focus,115000,бензин,2.0,at,хетчбэк,передний,145,не битый
3586,ваз,25000,2002,2107,134000,бензин,1.6,mt,седан,задний,75,не битый
3587,toyota,700000,2003,windom,198000,бензин,3.0,at,седан,передний,215,не битый
3588,mercedes,610000,2001,-benz e-класс,100000,бензин,4.3,at,седан,задний,279,не битый
3589,volkswagen,805000,2014,tiguan,82000,бензин,1.4,amt,внедорожник,передний,150,не битый
3590,mitsubishi,600000,2008,outlander,130000,бензин,2.4,cvt,внедорожник,полный,170,не битый
3591,kia,370000,2009,bongo,117000,дизель,3.0,mt,пикап,задний,123,не битый
3592,chery,270000,2011,tiggo (t11),146500,бензин,1.8,mt,внедорожник,передний,132,не битый
3593,nissan,299000,2009,almera classic,160000,бензин,1.6,mt,седан,передний,107,не битый
3594,lada,320000,2015,granta,96000,бензин,1.6,mt,седан,передний,82,не битый
3595,opel,285000,2008,astra,170000,бензин,1.6,mt,седан,передний,115,не битый
3596,ваз,55000,2001,2111,242000,бензин,1.5,mt,универсал,передний,72,не битый
3597,hyundai,245000,2008,getz,169000,бензин,1.4,mt,хетчбэк,передний,97,не битый
3598,ford,500000,2016,fiesta,66000,бензин,1.6,mt,седан,передний,85,не битый
3599,audi,549000,2012,a3,149500,бензин,1.2,amt,хетчбэк,передний,105,не битый
3600,geely,185000,2012,mk cross,173000,бензин,1.5,mt,хетчбэк,передний,94,не битый
3601,lifan,110000,2010,breez (520),154000,бензин,1.3,mt,хетчбэк,передний,89,не битый
3602,газ,360000,2013,ель 3302,166000,бензин,2.9,mt,пикап,задний,107,не битый
3603,audi,779000,2009,q5,140000,бензин,2.0,at,внедорожник,полный,211,не битый
3604,газ,239000,2007,ель 3302,155000,бензин,2.4,mt,пикап,задний,140,не битый
3605,dodge,418000,2008,caliber,60000,бензин,2.0,cvt,хетчбэк,передний,160,не битый
3606,уаз,140000,1997,31512,50000,бензин,2.4,mt,внедорожник,полный,76,не битый
